	#	;	+	-	*	/	%	<=	>=	<	>	==	!=	while	(	)	for	,	$	IDENTIFIER	int	IDENTIFIER	void	int	char	float	void	{	}	if	else	=	continue	break	return	number	CHAR	expression_statement	operator	iteration_statement	expression_profix	assignment_expression	PPT_declaration	PPT_declaration_class	PPT_variable_declaration	PPT_function_declaration	external_declaration	type_specifier	FTYPE_specifier	compound_statement	assignment_expression_list	selection_statement	start	statement	constant_expression	arithmetic_expression	declaration_init	function_declaration_suffix	function_declaration_list	assignment_expression_profix	declaration	declaration_assign	declaration_init_list	jump_statement	return_statement	function_definition	function_declaration	expression_list	assignment_operator	statement_list	function_expression	expression	primary_expression	
I0	r24	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	s4	 	 	s5	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	I3	 	 	 	I2	 	 	 	 	 	I1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	
I1	acc	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	
I2	r34	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	
I3	r24	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	s4	 	 	s5	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	I3	 	 	 	I6	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	
I4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	s7	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	
I5	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	s8	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	
I6	r25	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	
I7	 	s14	 	 	 	 	 	 	 	 	 	 	 	 	s13	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	I9	I10	I11	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	I12	 	 	 	 	 	 	 	
I8	 	 	 	 	 	 	 	 	 	 	 	 	 	 	s13	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	I15	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	I12	 	 	 	 	 	 	 	
I9	r18	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	r18	 	 	r18	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	
I10	r20	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	r20	 	 	r20	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	
I11	r21	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	r21	 	 	r21	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	
I12	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	s17	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	I16	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	
I13	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	r50	 	 	 	 	 	 	 	s22	s23	s24	s19	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	I21	 	 	 	 	 	 	 	 	 	 	I18	 	 	 	 	 	 	 	I20	 	 	 	 	 	 	
I14	r22	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	r22	 	 	r22	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	
I15	r19	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	r19	 	 	r19	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	
